2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-1 
2015/02/10 15:20:52 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : English Nodes 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group English Nodes. 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/02/10 15:20:52 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 10 ramp-up 1 perThread 100.0 delayedStart=false 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-1 
2015/02/10 15:20:52 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 3 : French Nodes 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group French Nodes. 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/02/10 15:20:52 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 3 threads 10 ramp-up 1 perThread 100.0 delayedStart=false 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-1 
2015/02/10 15:20:52 INFO  - jmeter.threads.ThreadGroup: Started thread group number 3 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 4 : Chinese Nodes 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Chinese Nodes. 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/02/10 15:20:52 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 4 threads 10 ramp-up 1 perThread 100.0 delayedStart=false 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-1 
2015/02/10 15:20:52 INFO  - jmeter.threads.ThreadGroup: Started thread group number 4 
2015/02/10 15:20:52 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/02/10 15:20:52 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = MacBookAir-stephenbresnick.local 
2015/02/10 15:20:52 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-2 
2015/02/10 15:20:52 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2015/02/10 15:20:52 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2015/02/10 15:20:52 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-2 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-2 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-2 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-3 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-3 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-3 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-3 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-4 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-4 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-4 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-4 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-5 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-5 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-5 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-5 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-6 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-6 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-6 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-6 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-7 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-7 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-7 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-7 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-8 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-8 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-8 
2015/02/10 15:20:52 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-8 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-9 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-9 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-9 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-9 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: All Nodes 1-10 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: English Nodes 2-10 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: French Nodes 3-10 
2015/02/10 15:20:53 INFO  - jmeter.threads.JMeterThread: Thread started: Chinese Nodes 4-10 
2015/02/10 15:21:04 INFO  - jmeter.threads.JMeterThread: Thread is done: English Nodes 2-6 
2015/02/10 15:21:04 INFO  - jmeter.threads.JMeterThread: Thread finished: English Nodes 2-6 
2015/02/10 15:21:05 INFO  - jmeter.threads.JMeterThread: Thread is done: English Nodes 2-9 
2015/02/10 15:21:05 INFO  - jmeter.threads.JMeterThread: Thread finished: English Nodes 2-9 
